Key,SourceString,Comment

Ability.Monster.Melee.Attack.Name,"Attack",
Ability.Monster.Melee.Attack.Desc,"Basic Attack",

Ability.Knight.Attack.Name,"Attack",
Ability.Knight.Attack.Desc,"Attacks with a melee strike, dealing 1x melee damage",
Ability.Knight.Taunt.Name,"Taunt",
Ability.Knight.Taunt.Desc,"Deals 1.5x melee damage and compels the target to attack the warrior",

Ability.Ranger.Ranged_Attack.Name,"Ranged Attack",
Ability.Ranger.Ranged_Attack.Desc,"Fire a ranged shot, doing 1x ranged damage",
Ability.Ranger.HuntersShot.Name,"Hunter's Shot",
Ability.Ranger.HuntersShot.Desc,"Skillfully shoot furry enemies, dealing 4x ranged damage to beasts",

Ability.Wizard.Basic_Attack.Name,"Attack",
Ability.Wizard.Basic_Attack.Desc,"Fire a ranged shot, doing 1x magic damage",
Ability.Wizard.MagicShield.Name,"Magic Shield",
Ability.Wizard.MagicShield.Desc,"Grants +50 protection to all attacks for 50 seconds.",

Ability.Cleric.Basic_Attack.Name,"Attack",
Ability.Cleric.Basic_Attack.Desc,"Fire a ranged shot, doing 1x magic damage",
Ability.Cleric.Heal.Name,"Holy Heal",
Ability.Cleric.Heal.Desc,"Heals target friendly unit for 6x magic damage",
 
