Key,SourceString,Comment

ItemDef.HealthPotion.Name,"Health Potion",
ItemDef.HealthPotion.Desc,"Restores a portion of heroes' health.",
ItemDef.ManaPotion.Name,"Mana Potion",
ItemDef.ManaPotion.Desc,"Restores a portion of heroes' mana.",

ItemDef.ACC_Regen.Name,"Amulet of Regeneration",
ItemDef.ACC_Regen.Desc,"Restores health over a course of time.",
ItemDef.ACC_Protect.Name,"Ring of Protection",
ItemDef.ACC_Protect.Desc,"Improves protection against all types of attacks.",
ItemDef.ACC_ExpertProtect.Name,"Expert Amulet of Protection",
ItemDef.ACC_ExpertProtect.Desc,"Dramatically improves protection against all types of attacks.",

ItemDef.WEP_Melee_Starter.Name,"Basic Blade",
ItemDef.WEP_Melee_Starter.Desc,"An ordinary blade",
ItemDef.WEP_Melee_Tier2.Name,"Improved Blade",
ItemDef.WEP_Melee_Tier2.Desc,"Improves melee attack",
ItemDef.WEP_Melee_Tier3.Name,"Masterwork Blade",
ItemDef.WEP_Melee_Tier3.Desc,"Improves melee attack",
ItemDef.WEP_Melee_Tier4.Name,"Expert Blade",
ItemDef.WEP_Melee_Tier4.Desc,"Improves melee attack",

ItemDef.WEP_Range_Starter.Name,"Basic Ranged Weapon",
ItemDef.WEP_Range_Starter.Desc,"Basic ranged weapon of a good quality",
ItemDef.WEP_Range_Tier2.Name,"Improved Ranged Weapon",
ItemDef.WEP_Range_Tier2.Desc,"Improves ranged attack",
ItemDef.WEP_Range_Tier3.Name,"Masterwork Ranged Weapon",
ItemDef.WEP_Range_Tier3.Desc,"Improves ranged attack",
ItemDef.WEP_Range_Tier4.Name,"Expert Ranged Weapon",
ItemDef.WEP_Range_Tier4.Desc,"Improves ranged attack",

ItemDef.WEP_Magic_Starter.Name,"Basic Magic Weapon",
ItemDef.WEP_Magic_Starter.Desc,"Just an ordinary magic weapon",
ItemDef.WEP_Magic_Tier2.Name,"Improved Magic Weapon",
ItemDef.WEP_Magic_Tier2.Desc,"Improves magic attack",
ItemDef.WEP_Magic_Tier3.Name,"Masterwork Magic Weapon",
ItemDef.WEP_Magic_Tier3.Desc,"Improves magic attack",
ItemDef.WEP_Magic_Tier4.Name,"Expert Magic Weapon",
ItemDef.WEP_Magic_Tier4.Desc,"Improves magic attack",

ItemDef.ARM_Melee_Starter.Name,"Basic Steel Armor",
ItemDef.ARM_Melee_Starter.Desc,"Roughly forged steel armor",
ItemDef.ARM_Melee_Tier2.Name,"Improved Steel Armor",
ItemDef.ARM_Melee_Tier2.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Melee_Tier3.Name,"Masterwork Steel Armor",
ItemDef.ARM_Melee_Tier3.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Melee_Tier4.Name,"Expert Steel Armor",
ItemDef.ARM_Melee_Tier4.Desc,"Improves protection against all types of attacks",

ItemDef.ARM_Range_Starter.Name,"Basic Leather Armor",
ItemDef.ARM_Range_Starter.Desc,"Armor made of rough boiled leather",
ItemDef.ARM_Range_Tier2.Name,"Improved Leather Armor",
ItemDef.ARM_Range_Tier2.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Range_Tier3.Name,"Masterwork Leather Armor",
ItemDef.ARM_Range_Tier3.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Range_Tier4.Name,"Expert Leather Armor",
ItemDef.ARM_Range_Tier4.Desc,"Improves protection against all types of attacks",

ItemDef.ARM_Magic_Starter.Name,"Basic Cloth Armor",
ItemDef.ARM_Magic_Starter.Desc,"Basic linen robe",
ItemDef.ARM_Magic_Tier2.Name,"Improved Cloth Armor",
ItemDef.ARM_Magic_Tier2.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Magic_Tier3.Name,"Masterwork Cloth Armor",
ItemDef.ARM_Magic_Tier3.Desc,"Improves protection against all types of attacks",
ItemDef.ARM_Magic_Tier4.Name,"Expert Cloth Armor",
ItemDef.ARM_Magic_Tier4.Desc,"Improves protection against all types of attacks",
